RevolvingUtilizationOfUnsecuredLines,age,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberRealEstateLoansOrLines,NumberOfDependents,Default
0.012214111,0.9003820955027925,0.004137931,0.023196,0.08419701069035274,0.0021814974908504923,0.03843847585574821,false
1.142233313,0.4250847398735338,0.322568243,0.0104,0.09703270971351304,0.04025089580030074,0.09084833504476568,true
0.633736626,0.3622386121660641,0.63549677,0.013,0.17473853343193815,0.05563376951561522,0.03253840489609476,true
0.721111859,0.5545768783148736,0.722952866,0.041664,0.38759672894554115,0.09877989662987081,0.032457933489343185,false
0.749589412,0.5387635202220321,0.034055728,0.027128,0.1094964487686006,0.0036756034874351417,0.04945472414183342,false
0.836832633,0.610619623583493,0.050189962,0.02,0.04798718964825346,0.02345260905299377,0.030524107513909982,false
0.354125994,0.5761278859859651,0.558762411,0.01732,0.07552949840136586,0.0830458480116529,0.026043433351183986,false
0.288706963,0.46382028067457337,0.598297367,0.0202,0.18046915715159567,0.06597748715603949,0.12389652276854975,false
0.685546465,0.4770390559710069,0.529867533,0.016,0.1895623033571089,0.05207988369928562,0.12412107191130209,true
0.722910836,0.6055873559437167,0.596680664,0.02,0.09174124039828105,0.0937551299986633,0.13529000490089071,false
0.389167582,0.5372279256243272,0.697629415,0.016532,0.1866893181593045,0.10221743734961393,0.02506551835388764,false
0.878881177,0.40283384606460715,0.605616199,0.048,0.3183068255528785,0.159402448476783,0.028094371421947827,true
0.612599337,0.5139889684555842,0.521018931,0.028732,0.24697570371821173,0.16047867688142148,0.11938475092827057,true
0.682878081,0.3647311382699257,0.437164879,0.023868,0.08714411520450481,0.06852319519800368,0.11865623281351581,true
0.077844311,0.5790362070343174,0.00979804,0.02,0.07627122157596117,0.04030841505011823,0.011004021905941385,true
0.301555955,0.4432020752324229,0.639738766,0.056344,0.1903195672880456,0.2238504214068159,0.057679591464663414,false
0.107560312,0.45575318412960636,0.41928911,0.017664,0.0974187702639632,0.13188733655141355,0.05462755192868031,false
0.9999999,0.31761373911609236,0.0,0.0048,0.01373968858354426,0.03863730434452951,0.008605210657072515,false
0.548572613,0.5555525260204585,0.848366013,0.015296,0.17798022425013033,0.10706054915585268,0.036044743036097934,true
1.078921079,0.35738129298206117,0.338314867,0.01552,0.1526798856011056,0.00701874686684042,0.10670303793019298,true
